ID	domain	phylum	class	order	family	genus	species
k141_28135	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parafannyhessea	Parafannyhessea umbonata
k141_20109	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
k141_28136	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paroceanicella	Paroceanicella profunda
k141_24110	Bacteria	Bacillota					
k141_28138	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ethanoligenens	Ethanoligenens harbinense
k141_20113	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira sp. GIMC2001
k141_8101	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Vescimonas	Vescimonas coprocola
k141_4075	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 15A4
k141_28141	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium congolense
k141_4077	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus jilunlii
k141_24114	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. JN-9
k141_8104	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	
k141_4080	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus gobiensis
k141_91	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Ruaniaceae	Ruania	Ruania alkalisoli
k141_4081	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium thermophilum
k141_28146	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium sp. IP-3-29
k141_20119	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_8109	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
k141_4082	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Xanthobacter	Xanthobacter autotrophicus
k141_4085	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_12092	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces venezuelae
k141_24116	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella timonensis
k141_24117	Bacteria						
k141_20127	Bacteria	Actinomycetota	Actinomycetes	Micrococcales			
k141_12093	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria flava
k141_8111	Bacteria	Pseudomonadota					
k141_4086	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	Caproiciproducens sp. NJN-50
k141_16028	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium gasigenes
k141_28154	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerotignum	Anaerotignum propionicum
k141_24119	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax aquaticus
k141_20130	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_4091	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_24121	Bacteria						
k141_95	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium estertheticum
k141_12101	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii
k141_20132	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus	Salinicoccus halodurans
k141_28158	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parafannyhessea	Parafannyhessea umbonata
k141_16029	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. JN-9
k141_4096	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas sp. DR822
k141_16030	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_12104	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		
k141_102	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Vescimonas	Vescimonas coprocola
k141_16031	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	
k141_20136	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parafannyhessea	Parafannyhessea umbonata
