	PC1	PC2
k141_28092	2.734806630332939	0.15186692890760994
k141_47	-12.777928394104753	-7.778913506458828
k141_8044	6.967397201201015	-3.6286676342837962
k141_12039	3.0577925340313787	-6.611141363581291
k141_16025	29.588220098970776	-1.8417200373853824
k141_4038	-5.643396734742223	1.9177897038982619
k141_24073	0.08022453445781053	-4.754084274761404
k141_4039	-7.525721259915292	-3.016237337196852
k141_12041	21.868050561998757	3.3564207528908314
k141_20076	-3.5838417829421854	-2.9589895092886023
k141_8047	-10.772053225160796	-0.7234836927527668
k141_28095	-7.656485392358424	-1.430979030770044
k141_16026	-8.807700475756985	4.449640241314331
k141_48	-8.742766162869511	1.134837653409414
k141_20077	4.407374328793359	-2.1570741887827305
k141_28096	-8.038053651550802	0.46103709704382967
k141_4041	20.57088765765429	5.206613435774089
k141_28097	22.601997124813938	4.240142507267441
k141_4042	-9.72399593479328	-1.5662365192267282
k141_50	-5.766723173002397	0.8680075086779131
k141_8048	-5.841384246963026	0.7235271930523755
k141_51	5.606647662089603	-3.089032787964238
k141_24074	8.256026368634377	-7.861764972447702
k141_8049	9.76762950743721	1.5632204067825002
k141_12050	-10.108582695687492	1.268113241764883
k141_52	-9.43599880087723	6.231789282698723
k141_20082	22.80227155767844	4.739404194916546
k141_24075	-4.406000703333532	4.699369541236017
k141_8050	19.608965275193547	6.901001898773116
k141_20084	19.89737992036916	2.9356061872810564
k141_24077	4.9211396214509255	-3.142081379407486
k141_4045	-13.916412952489182	-5.512438756140847
k141_12053	3.9578736351080614	-0.7910849494238397
k141_8054	7.940333039468382	0.644067523629596
k141_20086	-7.069686837207752	-0.07987286317022457
k141_54	6.143448731939704	-7.16395471204808
k141_24081	9.205664718423863	-0.47230381163228524
k141_20088	10.901262499111848	-3.686652328465759
k141_12056	-20.880057030654804	11.341580857325024
k141_4046	-13.522877232211918	1.9951311499133384
k141_20089	-4.026625791325594	1.2321591755128667
k141_28102	-9.044319613387879	-5.929773898844255
k141_8061	9.453823022927892	-5.362765828942498
k141_12058	-4.562105364772883	1.3198963334401572
k141_20090	-2.3584694757523743	-3.724198291861204
k141_59	10.564447236457955	-0.13491612539823244
k141_28104	24.52581379829047	2.4332769822985165
k141_60	-3.477384546686342	-3.816619201835036
k141_24086	21.54317587219125	3.2310362416670935
k141_4050	2.675311455724102	-4.92928447612507
k141_28108	20.296876702031796	5.263424989992181
k141_28109	16.759024136542507	0.5365862243698528
k141_4051	-1.7032583381263178	1.4208858161387043
k141_8066	-13.066798011668162	0.9779118442248089
k141_62	16.76402657965287	7.908537327907236
k141_24087	-9.52001918765661	-1.1737932065844014
k141_8069	-1.9892749191211416	-2.738181022975289
k141_24088	-5.905412174400292	-2.799553624645693
k141_20092	-16.870761885890776	10.000162577159088
k141_8072	1.3776843369420262	3.6228036088815907
k141_28117	16.466619503309627	-2.060739026608916
k141_4053	-0.7688507248885175	1.3429904281812162
k141_24093	-3.7257195056383905	-1.1237589436966289
k141_12061	-11.114269007694306	-5.707242689659518
k141_8074	-2.8592062009299672	-2.5075035874746074
k141_28118	-4.4650582229905424	-4.798725856879283
k141_12062	7.4788064465183215	-1.7636303979687658
k141_8075	11.199710523591337	0.5789923653504492
k141_4055	2.6222930320615623	-2.9824054028079354
k141_65	-5.903693855391391	-2.177619642990321
k141_28119	18.341514225188664	-0.34129833933167425
k141_24095	4.010820862777086	-3.729082742364626
k141_4056	1.224064949777272	-4.787982457348573
k141_20096	6.997407529669022	-4.1307831475510675
k141_20098	16.746375638054825	-1.7058942298507755
k141_28122	2.7519804604331783	-0.33179356599792237
k141_70	-4.197402713706353	-4.662721033360991
k141_28123	8.656597530557981	7.699542739137921
k141_28125	23.420623687177613	4.828938253674388
k141_12071	-9.703358660254606	1.203872607849541
k141_8086	-10.479288545941198	-0.7141541182010154
k141_12072	-1.715238921739478	-0.07559967601865895
k141_28127	8.313640360337278	-2.1649317815414735
k141_8088	23.686155746968623	1.9438556169174077
k141_24100	-6.5513566778799035	-6.4128938624265786
k141_4068	9.416373544238338	-4.453825565776393
